season,season_id,match_id,nb_games
1992/93,1,136,462
1992/93,1,108,462
1992/93,1,263,462
1992/93,1,101,462
1992/93,1,241,462
1992/93,1,233,462
1992/93,1,107,462
1992/93,1,47,462
1992/93,1,217,462
1992/93,1,352,462
1992/93,1,201,462
1992/93,1,356,462
1992/93,1,250,462
1992/93,1,335,462
1992/93,1,426,462
1992/93,1,58,462
1992/93,1,419,462
1992/93,1,80,462
1992/93,1,175,462
1992/93,1,262,462
1992/93,1,430,462
1992/93,1,411,462
1992/93,1,91,462
1992/93,1,258,462
1992/93,1,389,462
1992/93,1,441,462
1992/93,1,296,462
1992/93,1,128,462
1992/93,1,354,462
1992/93,1,69,462
1992/93,1,123,462
1992/93,1,375,462
1992/93,1,259,462
1992/93,1,266,462
1992/93,1,252,462
1992/93,1,242,462
1992/93,1,404,462
1992/93,1,155,462
1992/93,1,416,462
1992/93,1,421,462
1992/93,1,320,462
1992/93,1,20,462
1992/93,1,147,462
1992/93,1,312,462
1992/93,1,78,462
1992/93,1,348,462
1992/93,1,138,462
1992/93,1,220,462
1992/93,1,221,462
1992/93,1,440,462
1992/93,1,350,462
1992/93,1,324,462
1992/93,1,371,462
1992/93,1,303,462
1992/93,1,199,462
1992/93,1,434,462
1992/93,1,410,462
1992/93,1,105,462
1992/93,1,269,462
1992/93,1,361,462
1992/93,1,49,462
1992/93,1,162,462
1992/93,1,290,462
1992/93,1,287,462
1992/93,1,429,462
1992/93,1,299,462
1992/93,1,116,462
1992/93,1,460,462
1992/93,1,328,462
1992/93,1,185,462
1992/93,1,347,462
1992/93,1,338,462
1992/93,1,317,462
1992/93,1,237,462
1992/93,1,75,462
1992/93,1,45,462
1992/93,1,267,462
1992/93,1,307,462
1992/93,1,270,462
1992/93,1,374,462
1992/93,1,420,462
1992/93,1,444,462
1992/93,1,97,462
1992/93,1,54,462
1992/93,1,77,462
1992/93,1,36,462
1992/93,1,73,462
1992/93,1,243,462
1992/93,1,403,462
1992/93,1,79,462
1992/93,1,265,462
1992/93,1,225,462
1992/93,1,353,462
1992/93,1,388,462
1992/93,1,204,462
1992/93,1,164,462
1992/93,1,247,462
1992/93,1,178,462
1992/93,1,120,462
1992/93,1,119,462
1992/93,1,370,462
1992/93,1,22,462
1992/93,1,122,462
1992/93,1,148,462
1992/93,1,385,462
1992/93,1,166,462
1992/93,1,111,462
1992/93,1,291,462
1992/93,1,40,462
1992/93,1,171,462
1992/93,1,174,462
1992/93,1,203,462
1992/93,1,191,462
1992/93,1,139,462
1992/93,1,235,462
1992/93,1,206,462
1992/93,1,102,462
1992/93,1,300,462
1992/93,1,284,462
1992/93,1,423,462
1992/93,1,248,462
1992/93,1,391,462
1992/93,1,278,462
1992/93,1,377,462
1992/93,1,165,462
1992/93,1,141,462
1992/93,1,161,462
1992/93,1,450,462
1992/93,1,412,462
1992/93,1,117,462
1992/93,1,30,462
1992/93,1,34,462
1992/93,1,170,462
1992/93,1,132,462
1992/93,1,360,462
1992/93,1,323,462
1992/93,1,193,462
1992/93,1,390,462
1992/93,1,346,462
1992/93,1,292,462
1992/93,1,104,462
1992/93,1,8,462
1992/93,1,88,462
1992/93,1,283,462
1992/93,1,234,462
1992/93,1,310,462
1992/93,1,158,462
1992/93,1,432,462
1992/93,1,127,462
1992/93,1,342,462
1992/93,1,17,462
1992/93,1,326,462
1992/93,1,334,462
1992/93,1,363,462
1992/93,1,210,462
1992/93,1,415,462
1992/93,1,366,462
1992/93,1,311,462
1992/93,1,261,462
1992/93,1,230,462
1992/93,1,153,462
1992/93,1,176,462
1992/93,1,28,462
1992/93,1,197,462
1992/93,1,238,462
1992/93,1,89,462
1992/93,1,35,462
1992/93,1,169,462
1992/93,1,56,462
1992/93,1,53,462
1992/93,1,462,462
1992/93,1,152,462
1992/93,1,96,462
1992/93,1,289,462
1992/93,1,268,462
1992/93,1,227,462
1992/93,1,229,462
1992/93,1,71,462
1992/93,1,398,462
1992/93,1,364,462
1992/93,1,246,462
1992/93,1,186,462
1992/93,1,179,462
1992/93,1,305,462
1992/93,1,190,462
1992/93,1,405,462
1992/93,1,455,462
1992/93,1,436,462
1992/93,1,308,462
1992/93,1,257,462
1992/93,1,3,462
1992/93,1,357,462
1992/93,1,144,462
1992/93,1,285,462
1992/93,1,41,462
1992/93,1,219,462
1992/93,1,202,462
1992/93,1,397,462
1992/93,1,124,462
1992/93,1,344,462
1992/93,1,281,462
1992/93,1,314,462
1992/93,1,177,462
1992/93,1,447,462
1992/93,1,93,462
1992/93,1,212,462
1992/93,1,48,462
1992/93,1,331,462
1992/93,1,130,462
1992/93,1,84,462
1992/93,1,31,462
1992/93,1,383,462
1992/93,1,61,462
1992/93,1,57,462
1992/93,1,251,462
1992/93,1,256,462
1992/93,1,196,462
1992/93,1,369,462
1992/93,1,402,462
1992/93,1,180,462
1992/93,1,393,462
1992/93,1,279,462
1992/93,1,273,462
1992/93,1,272,462
1992/93,1,14,462
1992/93,1,94,462
1992/93,1,208,462
1992/93,1,163,462
1992/93,1,149,462
1992/93,1,295,462
1992/93,1,286,462
1992/93,1,85,462
1992/93,1,453,462
1992/93,1,140,462
1992/93,1,70,462
1992/93,1,74,462
1992/93,1,194,462
1992/93,1,245,462
1992/93,1,438,462
1992/93,1,302,462
1992/93,1,384,462
1992/93,1,387,462
1992/93,1,113,462
1992/93,1,271,462
1992/93,1,276,462
1992/93,1,99,462
1992/93,1,4,462
1992/93,1,315,462
1992/93,1,172,462
1992/93,1,341,462
1992/93,1,228,462
1992/93,1,24,462
1992/93,1,445,462
1992/93,1,198,462
1992/93,1,457,462
1992/93,1,160,462
1992/93,1,133,462
1992/93,1,182,462
1992/93,1,26,462
1992/93,1,59,462
1992/93,1,135,462
1992/93,1,21,462
1992/93,1,13,462
1992/93,1,277,462
1992/93,1,68,462
1992/93,1,46,462
1992/93,1,368,462
1992/93,1,114,462
1992/93,1,1,462
1992/93,1,218,462
1992/93,1,90,462
1992/93,1,100,462
1992/93,1,150,462
1992/93,1,222,462
1992/93,1,50,462
1992/93,1,282,462
1992/93,1,211,462
1992/93,1,362,462
1992/93,1,145,462
1992/93,1,260,462
1992/93,1,395,462
1992/93,1,442,462
1992/93,1,422,462
1992/93,1,439,462
1992/93,1,29,462
1992/93,1,386,462
1992/93,1,264,462
1992/93,1,209,462
1992/93,1,51,462
1992/93,1,293,462
1992/93,1,306,462
1992/93,1,189,462
1992/93,1,142,462
1992/93,1,167,462
1992/93,1,129,462
1992/93,1,461,462
1992/93,1,19,462
1992/93,1,98,462
1992/93,1,452,462
1992/93,1,316,462
1992/93,1,7,462
1992/93,1,376,462
1992/93,1,215,462
1992/93,1,154,462
1992/93,1,223,462
1992/93,1,55,462
1992/93,1,380,462
1992/93,1,443,462
1992/93,1,339,462
1992/93,1,414,462
1992/93,1,6,462
1992/93,1,406,462
1992/93,1,86,462
1992/93,1,81,462
1992/93,1,394,462
1992/93,1,254,462
1992/93,1,11,462
1992/93,1,33,462
1992/93,1,297,462
1992/93,1,409,462
1992/93,1,446,462
1992/93,1,226,462
